name,phone,description,email,instagram_link,website_link,x,y
La Coquerita,,"Sendero de dificultad media - Horario de atención 8:30 am a 5:00 pm - No ingresar perros No ingresar bebidas",,,,479.771951,-338.350595
El Cielo,+573127536743,Reserva Natural,,https://www.instagram.com/elcielocapurgana,,102.530483,-13.081475
El Sendero,+573142024131,Cabañas en el sendero Sapzurro Capurganá.,,,,459.619408,-14.142136
Cruz del Mar,+573212154272,Hospedaje y restaurante,,https://www.instagram.com/Cabañascruzdelmar,,32.526912,-10.606602
Salitre Y Selva,+573115376009,Cocina en movimiento,,https://www.instagram.com/salitreyselva,,31.466252,-40.305087
Casa Wago,+573227717101,Experiencia para tus sentidos,,https://www.instagram.com/casawago,,33.587572,-69.650018
Casa Alma Hostel,+573142024346,Cabañas entre la selva y el mar,,https://www.instagram.com/casaalmahostel,,31.466252,-90.156115
Pura vida,+573216171633,Conecta con tu interior,,https://www.instagram.com/capurganapuravida,,36.769553,-146.724657
Mi Casa Es Tu Casa,+573233356372,Glamping,,https://www.instagram.com/micasaestucasaglamping,,58.336309,-107.480231
Cabañas Tucán,+573156346434,Estilo Italiano en Capurganá,,,https://www.cabanatucancapurgana.com,115.000000,-124.000000
Hostal Bralgijon,+573154847646 +573165892483,"Piscina, aire acondicionado, confort",,,,82.125000,-110.500000
Cabaña Darius,+573157733906 +573103977768,"Disfruta, descansa y rie",,,,101.500000,-96.750000
Melo party Hostel,+573002611276,Hostal para solteros adultos,,https://www.instagram.com/melocapurgana,https://www.melohostel.com,166.625000,-118.250000
Hotel Calypso Capurganá,+573218481582,"Bar, restaurante, tours",,https://www.instagram.com/hotelcalypsocapurgana,,206.125000,-136.250000
Las Mañanitas,+573113104811,Servicios de Hotelería y Turismo,,https://www.instagram.com/hotel_en_capurgana,,234.500000,-149.625000
Tacarcuna Lodge,+573147916031,"Hotel, restaurant, Planes turísticos",,https://www.instagram.com/atacarcunalodge_capurgana,https://www.tacarcuna.com/,296.250000,-125.875000
La Posada del Gecko,+573145256037,Restaurante Italiano.,posadadelgecko@hotmail.com,https://www.instagram.com/posadadelgeckocapurgana,,311.000000,-180.375000
Oleajes Capurganá,+573136105252,Eficiencia y calidez,,https://www.instagram.com/oleajescapurganahotel,,340.875000,-153.250000
Hotel Bahia Pinorroa Lodge,+573127928151,Hotel en Capricornio,,https://www.instagram.com/bahiapinorroa,,322.500000,-94.750000
Despierta y Salta,+573187123994,Turismo de Bienestar,,https://www.instagram.com/Vicky_illenick,,313.375000,-68.375000
Piedra Viva,+573225775703,Hotel,,https://www.instagram.com/hotelpiedravivasas,,388.500000,-77.125000
Casa Manglares,+573218199001,"Familia, amigos, tranquilidad, comodidad",,https://www.instagram.com/casamanglarescapurgana,,238.375000,-14.250000
Acuali eco hostal,+573128734484,Encuentro cercano con la naturaleza,,https://www.instagram.com/acualiecohostal,,457.250000,-52.625000
Dive & Green,+573115784021,Dive Resor PADI - 22 años de experiencia,,https://www.instagram.com/caribediveandgreen,https://diveandgreen.com/es/inicio/,324.625000,-211.500000
Hotel-Bar Katamaran,+573104400540,,,https://www.instagram.com/Hotelkatamarancapurgana,https://hotelkatamarancapurgana.com/,303.875000,-233.875000
Monica Aguirre,+541161267422,Terapeuta Holística,,https://www.instagram.com/morfosis_lunar,,454.875000,-298.875000
