name,description,image
Acandí,"Este  pueblo en el extremo norte del Chocó es la puerta de entrada a varias playas y reservas naturales. Su rica cultura y tradiciones lo convierten en un destino encantador para los viajeros.",ACANDI.JPG
Cabo Tiburón,"Situado cerca de Sapzurro, Cabo Tiburón es una playa virgen con formaciones rocosas únicas. Sus piscinas naturales y aguas cristalinas lo convierten en un destino ideal para nadar y disfrutar de la tranquilidad.",CABO_TIBURON.JPG
El Aguacate,"Conocida como Bahía El Aguacate, esta tranquila bahia cerca de Capurganá ofrece aguas claras y paisajes llenos de verde y azul. Es perfecta para relajarse y disfrutar de la serenidad del Caribe Vhocoano.",EL_AGUACATE.JPG
La Coquerita:,"A unos 45 minutos a pie desde Capurganá, La Coquerita es un refugio natural con piscinas de agua salada y dulce. Es el lugar perfecto para relajarse mientras se contempla el mar Caribe, Debes consultar los requisitos antes de ir. No se deben ingresar perros ni bebidas. Horario de 8:30 AM a 5:00 pm",LA_COQUERITA.JPG
La Miel - Panamá,"Ubicada en la frontera colombo-panameña, La Miel es una playa de arena blanca y aguas cristalinas, rodeada de palmeras. Se accede desde Sapzurro tras una caminata de aproximadamente 20 minutos, ofreciendo una experiencia única de dos países en un solo viaje.",LA_MIEL.JPG
La Mora,"Esta zona cerca a Capurganá es conocida por su ambiente tranquilo y belleza natural. Ofrece una combinación de playas serenas y acceso a la exuberante selva tropical.",LA_MORA.JPG
Playa Soledad,"Playa Soledad es famosa por su arena dorada y aguas tranquilas. Es el lugar perfecto para desconectarse y disfrutar de la naturaleza en su máxima expresión.",PLAYA_SOLEDAD.JPG
Quebrada La Diana,"Un sendero ecológico que conecta Capurganá con Sapzurro lleva a la quebrada La Diana. Es un lugar ideal para refrescarse y disfrutar de la naturaleza en medio de la selva tropical.",QUEBRADA_LA_DIANA.JPG
Reserva Natural El Cielo,"A pocos minutos de Capurganá, esta reserva es un santuario de biodiversidad. Sus senderos conducen a cascadas y pozos naturales ideales para nadar, mientras se disfruta de la exuberante flora y fauna del Chocó.",QUEBRADA_LA_DIANA.JPG
San Francisco y Triganá,"Dos tranquilos pueblos costeros en el Golfo de Darién, rodeados por la Serranía de Tripogadí. Sus bosques conservan una biodiversidad impresionante, incluyendo la guacamaya verde limón.",SAN_FRANCISCO_Y_TRIGANA.PNG
Sendero Mirador Sapzurro-Capurganá,"Este sendero ecológico conecta Capurganá con Sapzurro, ofreciendo vistas panorámicas de Capurganá y Sapzurro y la selva circundante. Es una caminata moderada que permite a los aventureros sumergirse en la naturaleza virgen de la región en una caminata de aproximadamente una hora y media.",SENDERO_MIRADOR_SAPZURRO_CAPURGANA.JPG
